;
2019 : ; Qualifié aux sections 7 et 11 du Conseil National des Universités
2018 : ; Doctorat de linguistique anglaise à l'université de Paris-Diderot.
2010 : ; Master 2 Recherche de Linguistique Anglaise à Paris Diderot.
2009 : ; Agrégation externe d'anglais (84ème).
2008 : ; Concours d'Accès à l'Echelle de Rémunération des Professeurs Certifiés d'anglais (4ème). 
1997-1998 : ;  Maîtrise d'anglais  à Paris-Nanterre.
1997-1998 : ;  2ème année de chinois à l’Institut National des Langues et Civilisations Orientales.
1996-1997 : ; Licence d'anglais à Paris Nanterre.
1996-1997 : ; 1ère année de chinois à l’INALCO.
1993-1995 : ; hypokhâgne et khâgne B/L à Stanislas (Paris 75006).
1993 : ; Baccalauréat C (mention Assez Bien).
